Date,2/23/2025 6:18:15 PM,2/24/2025 11:56:40 AM,2/24/2025 12:45:21 PM,2/24/2025 5:26:15 PM,2/24/2025 5:29:08 PM,2/24/2025 5:45:53 PM,2/24/2025 5:46:27 PM
symbol,BBAI,BBAI,BBAI,BBAI,BBAI,BBAI,BBAI
price,33.4200,33.4200,33.4200,33.4200,33.4200,33.4200,33.4200
volume,2064847,2064847,2064847,2064847,2064847,2064847,2064847
time,2025-02-21,2025-02-21,2025-02-21,2025-02-21,2025-02-21,2025-02-21,2025-02-21
