Date,2025-02-20 17:38:48,2025-02-20 17:38:57,2025-02-20 17:39:07,2025-02-20 17:39:09,2025-02-20 17:39:10,2025-02-20 17:39:11,2025-02-20 17:39:12,2025-02-20 17:39:12,2025-02-20 17:39:13,2025-02-20 17:39:14,2025-02-20 17:39:15,2025-02-20 17:39:16,2025-02-20 17:39:17,2025-02-20 17:39:18,2025-02-23 12:48:59,2025-02-23 12:49:22,2/23/2025 2:52:01 PM,2/23/2025 3:08:53 PM
lastOpen,36.66999816894531,36.66999816894531,36.66999816894531,36.66999816894531,36.66999816894531,36.66999816894531,36.66999816894531,36.66999816894531,36.66999816894531,36.66999816894531,36.66999816894531,36.66999816894531,36.66999816894531,36.66999816894531,35.95000076293945,35.95000076293945,35.95000076293945,35.95000076293945
lastClose,34.70289993286133,34.70289993286133,34.709999084472656,34.709999084472656,34.709999084472656,34.709999084472656,34.709999084472656,34.709999084472656,34.709999084472656,34.709999084472656,34.709999084472656,34.709999084472656,34.709999084472656,34.709999084472656,33.41999816894531,33.41999816894531,33.41999816894531,33.41999816894531
lastVolume,930687,930687,931084,931084,931084,931084,931084,931084,931084,931084,931084,931084,931084,931084,2058800,2058800,2058800,2058800
